Kategori_Lowongan,Pekerjaan Lowongan,Title,Posisi,Gaji,Gaji Min,Gaji Max,Kualifikasi,Tahun Pengalaman,Umur,Pendidikan,Skill,Link
Customer Service,Customer Service,Customer Service and Operation Specialist (air freight and ocean freight）,Customer Service and Operation Specialist (air freight and ocean freight）,$400 – $600 per month,400,600,Customer Support、Problem Solving、Documentation and Compliance、end to end、import&export、freight forwarding,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/83058973
Akuntan,Akuntan,"Administrasi, Finance","Administrasi, Finance",Rp 3.000.000 – Rp 4.500.000 per month,3000000,4500000,"Peran admin keuangan di perusahaan akuntansi ternama. Tunjangan menarik, pengembangan karir, dan lingkungan kerja dinamis.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85259093
Customer Service,Customer Service,Frontliner (Customer Service/Teller),Frontliner (Customer Service/Teller),Rp 4.250.000 – Rp 6.000.000 per month,4250000,6000000,"Kewajiban:Teller: Menerima setoran tunai, deposito, rekening giro, kiriman uang/ transfer, dan tagihan umum. Customer Service: melayani pembukaan.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85683273
Maintenance,Maintenance,Maintenance Staff,Maintenance Staff,Tidak dicantumkan,N/A,N/A,"Opportunity to develop your technical skills, work with a dynamic team, and contribute directly to the success of our operations.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85205082
Akuntan,Akuntan,Accounting Staff,Accounting Staff,Rp 6.000.000 – Rp 7.000.000 per month,6000000,7000000,"S1 Akuntansi  Walaupun baru memiliki pengalaman kerja 1 tahun dapat join, diharapkan pengalaman kerja sekitar  Accounting.",1,N/A,S1,accounting,https://id.jobstreet.com/id/job/85665689
Lainnya,Lainnya,Junior Accounting Staff,Junior Accounting Staff,Rp 5.000.000 – Rp 6.000.000 per month,5000000,6000000,"Badranaya Partnership, a full-service law firm based in Jakarta, is looking for a Junior Accounting Officer to join and support our Team!",N/A,N/A,N/A,accounting,https://id.jobstreet.com/id/job/85269043
Customer Service,Customer Service,CUSTOMER SERVICE AIR IMPORT,CUSTOMER SERVICE AIR IMPORT,Tidak dicantumkan,N/A,N/A,Acted as air import customer service,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85266142
Lainnya,Lainnya,E-Commerce Specialist,E-Commerce Specialist,Rp 6.000.000 – Rp 7.000.000 per month,6000000,7000000,"E-Commerce Specialist mengelola, mengoptimalkan, dan meningkatkan performa penjualan online perusahaan melalui berbagai platform digital.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85574158
Management,Management,Logistic Warehouse Staff,Logistic Warehouse Staff,Tidak dicantumkan,N/A,N/A,"Logistic, Warehouse Management System",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84998564
Quality Control,Quality Control,Kepala Bagian Quality Control,Kepala Bagian Quality Control,Tidak dicantumkan,N/A,N/A,Pimpin tim QC yang berpengalaman dan tingkatkan efisiensi perusahaan. Kompensasi dan fasilitas menarik.,N/A,N/A,N/A,erp,https://id.jobstreet.com/id/job/85536707
Customer Service,Customer Service,Admin Customer Service App Orderkuota,Admin Customer Service App Orderkuota,Rp 3.000.000 – Rp 3.500.000 per month,3000000,3500000,Melayani Komplain Customer Secara Daring / Melalui Aplikasi Messenger Official,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84937445
Admin,Admin,Admin,Admin,Rp 1.500.000 – Rp 2.250.000 per month,1500000,2250000,"Bergabung dengan tim dinamis PT Sanpota di Yogyakarta. Paket remunerasi kompetitif, peluang pengembangan karier, dan lingkungan kerja yang mendukung.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85033700
Lainnya,Lainnya,Staff Asset Manajemen Unit,Staff Asset Manajemen Unit,Tidak dicantumkan,N/A,N/A,Mengelola asset kendaraan dan bertanggung jawab dalam pelaksanaan strategi recovery .,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85601617
Admin,Admin,Project Administrative & Operation Staff,Project Administrative & Operation Staff,Tidak dicantumkan,N/A,N/A,You will play a vital role in ensuring that projects run smoothly and efficiently by providing essential administrative support.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85006631
Legal,Legal,Legal Officer,Legal Officer,Tidak dicantumkan,N/A,N/A,Melakukan proses perizinan pabrik dari awal izin usaha bangun sampai pabrik Commissioning,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85151446
Lainnya,Lainnya,Chatime Staff,Chatime Staff,Tidak dicantumkan,N/A,N/A,"Sebagai Chatime Staff, meracik minuman dengan kualitas teh terbaik dan menyajikannya kepada customer mampu memberikan ""simple happiness"". Setiap...",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85576331
Admin,Admin,Admin Operasional & E-commerce,Admin Operasional & E-commerce,Rp 3.500.000 – Rp 5.000.000 per month,3500000,5000000,"Mengelola administrasi, stok, dan kualitas produk di pabrik dan platform e-commerce. Menangani komunikasi dan pengiriman dengan pelanggan e-commerce 
",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84912339
Akuntan,Akuntan,Staff Accounting,Staff Accounting,Tidak dicantumkan,N/A,N/A,"Jadi Staff Akuntansi di perusahaan manufaktur ternama. Gaji kompetitif, tunjangan menarik, dan kesempatan pengembangan karir.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85120060
Admin,Admin,Admin Part - Honda Kumala Group,Admin Part - Honda Kumala Group,Tidak dicantumkan,N/A,N/A,Admin Part,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85134943
Lainnya,Lainnya,HR&GA Manager,HR&GA Manager,Rp 14.000.000 – Rp 18.000.000 per month,14000000,18000000,"Plan, manage, and ensure the implementation of HR&GA program",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85439483
Purchasing,Purchasing,Product Staff,Product Staff,Rp 4.750.000 – Rp 6.000.000 per month,4750000,6000000,Secure a rewarding role as a Purchasing Officer at a leading manufacturing and logistics provider. Competitive salary and benefits.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85683937
Production,Production,PRODUCTION ENGINEERING (CODE : PE),PRODUCTION ENGINEERING (CODE : PE),Tidak dicantumkan,N/A,N/A,Join our dynamic engineering team and drive production excellence with cutting-edge technology and flexible work arrangements.,N/A,N/A,N/A,excel,https://id.jobstreet.com/id/job/85568483
Admin,Admin,Admin Part & Warranty - Honda Kumala Kotamobagu,Admin Part & Warranty - Honda Kumala Kotamobagu,Tidak dicantumkan,N/A,N/A,Admin Part & Warranty,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85135021
Lainnya,Lainnya,Staff Pajak,Staff Pajak,Tidak dicantumkan,N/A,N/A,"Staff Pajak; S1; engalaman kerja > 3th di pajak perusahaan; brevert A&B: lokasi Klapanunggal, Cileungsi - Bogor",N/A,N/A,S1,N/A,https://id.jobstreet.com/id/job/85203535
Legal,Legal,Internal Control Staff,Internal Control Staff,Rp 5.396.761 – Rp 6.500.000 per month,5396761,6500000,Legal & Compliance,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85362795
Customer Service,Customer Service,Customer Service Officer,Customer Service Officer,Rp 4.500.000 – Rp 6.500.000 per month,4500000,6500000,Customer First.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84902535
Sales,Sales,Sales Staff,Sales Staff,Tidak dicantumkan,N/A,N/A,Melakuakn penjualan produk ke customer,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84966237
Seo,Seo,STAFF MARKETING EXPORT,STAFF MARKETING EXPORT,"Rp 5,000,000 – Rp 7,000,000 per month",5000000,7000000,Seorang profesional di bidang Marketing Ekspor harus bisa menjadi penghubung strategis antara perusahaan dan pasar global.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85172126
Lainnya,Lainnya,Sekuriti,Sekuriti,Rp 4.000.000 – Rp 4.500.000 per month,4000000,4500000,Menjaga keamanan lingkungan pekerjaan,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85062178
Sales,Sales,Customer Service Relation,Customer Service Relation,Tidak dicantumkan,N/A,N/A,"Provide customer service support to assigned sales representative by obtaining, analyzing and verifying the accuracy of order information in a...",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85127315
Seo,Seo,Accounting Staff,Accounting Staff,Tidak dicantumkan,N/A,N/A,Kami membutuhkan seorang tenaga staff akuntasi yang teliti dan jujur,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85170154
Guru,Guru,Human Resources Staff,Human Resources Staff,Tidak dicantumkan,N/A,N/A,Mengurus proses administrasi Exit dan Serah Terima karyawan.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84981824
Customer Service,Customer Service,Customer Care Staff,Customer Care Staff,Tidak dicantumkan,N/A,N/A,"Manage customer interactions via phone and email, handle complaints, conduct surveys, and maintain records, ensuring excellent customer service.",N/A,N/A,N/A,excel,https://id.jobstreet.com/id/job/84905514
Inventory,Inventory,Store Head,Store Head,Rp 4.500.000 – Rp 5.000.000 per month,4500000,5000000,"Managing running of the store, including opening and closing procedures, staffing, and inventory.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85452761
Finance,Finance,Accountant,Accountant,Tidak dicantumkan,N/A,N/A,Summary of functionsOrganizes all general accounting activities for AGA (Australia) as directed by the Finance Manager. Prepares accounting and...,N/A,N/A,N/A,"finance,accounting",https://id.jobstreet.com/id/job/85027463
Legal,Legal,Legal Staff,Legal Staff,Tidak dicantumkan,N/A,N/A,"Dukung praktik terbaik perusahaan sebagai Legal Staff. Gaji kompetitif, lingkungan kerja dinamis, dan kesempatan berkembang. Lamar sekarang!",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85183270
Purchasing,Purchasing,Purchasing Officer,Purchasing Officer,Tidak dicantumkan,N/A,N/A,"Purchasing officer, Indirect Materials, Batam",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85573768
Arsitek,Arsitek,Pengawas Proyek,Pengawas Proyek,Tidak dicantumkan,N/A,N/A,"Pengawasan proyek, laporan kerja, D3/S1 Teknik Sipil/Arsitek, pengalaman 2 tahun, domisili Surabaya, siap tugas ke luar Jawa.",2,N/A,"S1,D3",N/A,https://id.jobstreet.com/id/job/85541385
Admin,Admin,Staff Administrasi,Staff Administrasi,Rp 2.000.000 – Rp 3.000.000 per month,2000000,3000000,"Tugas dan Tanggung Jawab:

Menyiapkan dokumen administrasi tender sesuai persyaratan yang ditentukan
Pengarsipan dokumen kontrak/Adendum proyek",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85452109
Lainnya,Lainnya,Customer Relation Officer Jakarta Barat,Customer Relation Officer Jakarta Barat,Rp 5.300.000 – Rp 6.000.000 per month,5300000,6000000,Memberikan pengalaman belajar terbaik kepada murid dan orang tua murid selama kursus di EF center.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85304709
Lainnya,Lainnya,E-commerce Executive,E-commerce Executive,Tidak dicantumkan,N/A,N/A,A company that are looking to grow further in the market as well as for talented individuals who possess great work attitude and want to do great work,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85269642
Lainnya,Lainnya,PTP Trade Officer,PTP Trade Officer,Tidak dicantumkan,N/A,N/A,"If you're detail-oriented and love making things flow behind the scenes, this role is for you!",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85667436
Production,Production,Production Planning & Procurement Staff,Production Planning & Procurement Staff,Tidak dicantumkan,N/A,N/A,Responsible for overseeing operations to ensure schedules and deadlines are met.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84863829
Admin,Admin,Admin Penjualan,Admin Penjualan,Tidak dicantumkan,N/A,N/A,"Kelola relasi customer  & dokumen penjualan, cari peluang baru, dan pastikan pengiriman tepat waktu. Kembangkan karirmu bersama kami",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84900774
Lainnya,Lainnya,Customer Care Associate (Night Shift) 3-months contract,Customer Care Associate (Night Shift) 3-months contract,Tidak dicantumkan,N/A,N/A,The Customer Care Associate (Night Shift) ensures Bobobox guests and customers receive excellent service during the evening and late hours.,N/A,N/A,N/A,excel,https://id.jobstreet.com/id/job/85511560
It Support,It Support,IT SUPPORT,IT SUPPORT,Tidak dicantumkan,N/A,N/A,"Jika Anda memiliki latar belakang di bidang Teknologi mendukung operasional teknologi perusahaan, kami mengundang Anda untuk bergabung bersama kami!",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85554415
Management,Management,Water Management Research Officer,Water Management Research Officer,Tidak dicantumkan,N/A,N/A,"Studying, monitoring and evaluating the irrigation/fertigation activity and its impact on oil palm either in nursery or in mature stage",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85042043
Lainnya,Lainnya,Tour Product Staff,Tour Product Staff,Tidak dicantumkan,N/A,N/A,"Responsibilities: Checking every tour booking, competitor activity, making tour fare calculation &amp; itinerary to produce attractive, innovative...",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84971795
Finance,Finance,Finance Foreman,Finance Foreman,Tidak dicantumkan,N/A,N/A,We are looking for the best candidates to fill the position of Finance Foreman for Obi placement.,N/A,N/A,N/A,finance,https://id.jobstreet.com/id/job/85032032
Organization Development,Organization Development,Organization Development Supervisor,Organization Development Supervisor,Tidak dicantumkan,N/A,N/A,"Menyusun desain struktur organisasi ,  Memastikan pergerakan manpower sesuai dengan perencanaan, Memastikan desain jabatan selaras dgn proses bisnis ",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85108505
Audit,Audit,Accounting / Auditor Staff,Accounting / Auditor Staff,Rp 4.000.000 – Rp 5.700.000 per month,4000000,5700000,"Proaktif, teliti, pengalaman audit. Tunjangan kompetitif, pengembangan karier, serta lingkungan kerja dinamis dan kolaboratif.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85174796
Customer Service,Customer Service,Customer Service Agent,Customer Service Agent,base salary,N/A,N/A,We are a world-leading smart mobility SaaS company across 23 countries and we are looking for a Customer Service Agent to join our team.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85374782
Maintenance,Maintenance,Maintenance Electrical Engineer/Supervisor,Maintenance Electrical Engineer/Supervisor,Tidak dicantumkan,N/A,N/A,Come join with our big family,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85137904
Sales,Sales,Admin Koordinator Aftersales - Honda Kumala Area Manado,Admin Koordinator Aftersales - Honda Kumala Area Manado,Tidak dicantumkan,N/A,N/A,"Mengelola administrasi layanan aftersales, mengoordinasikan tim administrasi, serta menjamin kelancaran operasional dalam hal dokumentasi, pelaporan.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85065724
Management,Management,Training Center Manager (Perkebunan Kelapa Sawit),Training Center Manager (Perkebunan Kelapa Sawit),Tidak dicantumkan,N/A,N/A,"Training Center Manager Perkebunan Kelapa Sawit, materi pelatihan, modul pelatihan, Management Trainee, Perkebunan Kelapa Sawit, Agriculture",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85205713
Tax,Tax,Junior Tax,Junior Tax,Tidak dicantumkan,N/A,N/A,"Bergabung dengan tim dinamis di perusahaan terpercaya. Nikmati tunjangan kompetitif, pelatihan, dan fleksibilitas kerja.",N/A,N/A,N/A,erp,https://id.jobstreet.com/id/job/85360837
Warehouse,Warehouse,Warehouse & Logistic (SPV/Supervisor),Warehouse & Logistic (SPV/Supervisor),Tidak dicantumkan,N/A,N/A,PT. VEKTORDAYA MEKATRIKA menerapkan pendekatan proaktif dalam mencari calon karyawan yang prospektif untuk kesempatan masa depan.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85307611
Lainnya,Lainnya,DISPATCHER,DISPATCHER,"IDR 5,000,000 - 7,000,000",5000000,7000000,DESKRIPSI PEKERJAAN Monitoring Kendaraan yang keluar masuk dari Work Shop / Pool Mengelola jadwal kerja Pengemudi Membuat surat tugas Pengemudi...,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85425213
Lainnya,Lainnya,Assistant Office Manager,Assistant Office Manager,"Rp 15,000,000 – Rp 18,000,000 per month",15000000,18000000,"“If you thrive in a dynamic environment where your organizational & problem-solving skills are valued, this role is for you"".",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85437976
Lainnya,Lainnya,Junior Accountant,Junior Accountant,Tidak dicantumkan,N/A,N/A,-,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84910700
Lainnya,Lainnya,Accounting Staff,Accounting Staff,Tidak dicantumkan,N/A,N/A,"Catat dan laporkan keuangan, kelola pengeluaran/pendapatan, susun pajak bulanan, dan siapkan e-faktur; gaji, insentif, bonus, BPJS disertakan.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85214001
Finance,Finance,Finance Admin,Finance Admin,Tidak dicantumkan,N/A,N/A,"Job Description 
- Account payable & account receivable processing and monitoring 
- Invoice processing and monitoring",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85461129
Lainnya,Lainnya,Engineering Staff,Engineering Staff,Tidak dicantumkan,N/A,N/A,"- Melakukan analisa hasil produksi 
- Membuat rencana pengembangan hasil produksi",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85666483
Lainnya,Lainnya,Accounting Spv,Accounting Spv,Rp 13.000.000 – Rp 16.000.000 per month,13000000,16000000,Kandidat minimal berpendidikan S1 Jurusan Accounting  Usia Maksimal 32 tahun,N/A,32,S1,"accounting,erp",https://id.jobstreet.com/id/job/85535409
Sales,Sales,BUSINESS MARKETING STAFF (FRESH GRADUATE),BUSINESS MARKETING STAFF (FRESH GRADUATE),Tidak dicantumkan,N/A,N/A,"Make regular sales for new potential account or existing account, Making regular or irregular reports of the services in self-group",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85536394
Retail,Retail,Regional Manager,Regional Manager,Tidak dicantumkan,N/A,N/A,Lead a growing regional team and drive operational excellence at Richeese Kuliner's expanding network of retail sites.,N/A,N/A,N/A,excel,https://id.jobstreet.com/id/job/85064067
Admin,Admin,Admin Gudang,Admin Gudang,Tidak dicantumkan,N/A,N/A,"Kami mencari Admin Gudang yang berpengalaman untuk bergabung dengan tim kami di Valor Private Space and Bar di Surabaya, Jawa Timur.",N/A,N/A,N/A,erp,https://id.jobstreet.com/id/job/85592209
Maintenance,Maintenance,Plant Maintenance Technician,Plant Maintenance Technician,Tidak dicantumkan,N/A,N/A,min D3 < 40th dgn > 1 tahun sbg plant planning & controlling/ Plant Engineer perusahaan tambang. ditempatkan diseluruh project/site sesuai kebutuhan.,N/A,N/A,D3,N/A,https://id.jobstreet.com/id/job/85067421
Finance,Finance,Finance & Accounting,Finance & Accounting,Tidak dicantumkan,N/A,N/A,"Join our team to manage international finance, work with global partners, and grow your career in a fast-paced environment",N/A,N/A,N/A,finance,https://id.jobstreet.com/id/job/84906077
Legal,Legal,Legal Staff,Legal Staff,Tidak dicantumkan,N/A,N/A,"Honda Surabaya Center sedang mencari individu yang teliti, komunikatif, dan memiliki pemahaman hukum perusahaan untuk bergabung sebagai Legal Staff.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85302951
Lainnya,Lainnya,Process Engineer,Process Engineer,Tidak dicantumkan,N/A,N/A,"This job requires to plan, design, and build the most efficient method in process engineering area.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85530143
Lainnya,Lainnya,Accounting Staff,Accounting Staff,Rp 6.000.000 – Rp 7.000.000 per month,6000000,7000000,"Excellent career growth, competitive salary, and supportive work environment in a leading accounting firm.",N/A,N/A,N/A,"excel,accounting",https://id.jobstreet.com/id/job/85560640
Lainnya,Lainnya,D3 Electrical Engineering for GA Utility (CODE : UTILITY),D3 Electrical Engineering for GA Utility (CODE : UTILITY),Tidak dicantumkan,N/A,N/A,"Responsible for managing and maintaining utility systems to support efficient, safe, and reliable manufacturing operations in a factory environment",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85164479
Finance,Finance,Finance & Accounting Senior Staff,Finance & Accounting Senior Staff,Tidak dicantumkan,N/A,N/A,-,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84979072
Audit,Audit,Internal Audit Officer,Internal Audit Officer,Tidak dicantumkan,N/A,N/A,"Join a leading automotive manufacturer as Internal Audit Officer, contributing to operational excellence and driving growth.",N/A,N/A,N/A,excel,https://id.jobstreet.com/id/job/84867390
Payroll,Payroll,HRD & Payroll Staff,HRD & Payroll Staff,Tidak dicantumkan,N/A,N/A,"Kami sedang mencari individu yang profesional, teliti, dan adaptif untuk bergabung bersama tim kami sebagai HRD bersama Honda Surabaya Center.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85158629
Management,Management,management tranner,management tranner,Rp 8.000.000 – Rp 12.000.000 per month,8000000,12000000,"Yuto Packaging Technology Indonesia adalah Perusahaan packaging nomer 1 di China.adalah perusahaan Internasional ,",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85379530
Admin,Admin,Admin Operasional,Admin Operasional,Tidak dicantumkan,N/A,N/A,Admin Operational,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85680030
Lainnya,Lainnya,STAFF PROJECT ENGINEER,STAFF PROJECT ENGINEER,Tidak dicantumkan,N/A,N/A,Bangun karier Anda di industri sparepart mesin mining terkemuka. Manfaat kompetitif dan lingkungan kerja dinamis. Lamar sekarang!,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85685408
Purchasing,Purchasing,Purchasing Staff,Purchasing Staff,Tidak dicantumkan,N/A,N/A,(Bagian Pengadaan/Pembelian),N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85228077
Lainnya,Lainnya,PERSONAL ASSISTANT,PERSONAL ASSISTANT,Tidak dicantumkan,N/A,N/A,"PT Neo Mitra Industri, sedang mencari PERSONAL ASSISTANT untuk bergabung dengan tim kami dengan gaji yang kompetitif.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85682113
Admin,Admin,Administration Staff,Administration Staff,Tidak dicantumkan,N/A,N/A,"Support admin tasks, analyze daily–monthly data/feedback, and coordinate with related staff.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85682350
Data Analyst,Data Analyst,ADMIN DATA ANALYST,ADMIN DATA ANALYST,Rp 3.500.000 – Rp 4.000.000 per month,3500000,4000000,Pengalaman sebagai admin data anlayst,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85188393
Recruitment,Recruitment,Staff Talent Acquisition,Staff Talent Acquisition,Tidak dicantumkan,N/A,N/A,Ensuring that the administration & recruitment process runs well so that it can meet qualification and prepare for employer branding content,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85268704
Lainnya,Lainnya,EHS Engineer,EHS Engineer,Tidak dicantumkan,N/A,N/A,"Minimize risk, provide guidelines, support & facilitate EHS practices in all plant premises to comply with Regulations, policies & relevant standards.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85544745
Technician,Technician,BOILER TEKNISI LAPANGAN/PROJECT ENGINEER,BOILER TEKNISI LAPANGAN/PROJECT ENGINEER,Tidak dicantumkan,N/A,N/A,"Tantangan menarik sebagai Boiler Technician/Project Engineer di PT SPE. Tunjangan kompetitif, pengembangan karier, dan lingkungan kerja dinamis.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84936451
Purchasing,Purchasing,Purchasing Staff,Purchasing Staff,Tidak dicantumkan,N/A,N/A,"Handles procurement activities, sources suppliers, compares prices, proje,cts and ensures timely delivery of goods and materials.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85216056
Lainnya,Lainnya,STAF OPERASIONAL,STAF OPERASIONAL,Rp 3.500.000 – Rp 5.000.000 per month,3500000,5000000,"Kesempatan mengembangkan karir di perusahaan manajemen perkantoran terkemuka. Gaji kompetitif, lingkungan kerja dinamis.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84938035
Admin,Admin,ACCOUNTING AND ADMIN ASSISTANT,ACCOUNTING AND ADMIN ASSISTANT,Rp 5.500.000 – Rp 7.500.000 per month,5500000,7500000,Join our multinational Japanese company as an Administrative Assistant to support operations. Fresh graduates welcome; English is a plus!,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85063474
Lainnya,Lainnya,HRD Office,HRD Office,Rp 4.000.000 – Rp 6.000.000 per month,4000000,6000000,PT KSR didirikan pada tahun 2014. Ini adalah perusahaan bahan bangunan dengan bisnis yang terdiversifikasi.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84952558
Lainnya,Lainnya,"Crew Outlet (Waiter, Greeter, Kasir)","Crew Outlet (Waiter, Greeter, Kasir)",Rp 3.500.000 – Rp 5.000.000 per month,3500000,5000000,"Anda BERPENAMPILAN RAPI & MENARIK?
Pribadi yang JUJUR & TELITI?
Ingin memiliki PENGHASILAN HINGGA 50 JUTA/TAHUN?",N/A,N/A,N/A,erp,https://id.jobstreet.com/id/job/85511581
Admin,Admin,KTU / Admin Head,KTU / Admin Head,Tidak dicantumkan,N/A,N/A,"1. Handle SPK and operational BAP payment admin
2. Monitor and support manpower requirements",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85196648
Lainnya,Lainnya,IMPORT STAFF,IMPORT STAFF,Tidak dicantumkan,N/A,N/A,COMPETITIVE SALARY,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85069274
Purchasing,Purchasing,"Procurement, General Purchasing Staff","Procurement, General Purchasing Staff",Tidak dicantumkan,N/A,N/A,"Searching, Negotiation, Evaluate and analyze all Supplier.
Have attended QMS, ISO 9001, 45001 and IATF 16949",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85680465
Lainnya,Lainnya,Staff Procurement,Staff Procurement,Tidak dicantumkan,N/A,N/A,"Mencari dan bernegosiasi dengan subkontraktor untuk pekerjaan konstruksi, pengetahuan yang kuat tentang prinsip, praktik, dan peraturan pengadaan",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85298327
Quality Control,Quality Control,Quality Control,Quality Control,Tidak dicantumkan,N/A,N/A,"Ensure crypto product quality through manual & automated testing, record-keeping, and compliance with industry standards.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84984090
Lainnya,Lainnya,Research and Development (RnD) Staff,Research and Development (RnD) Staff,Rp 7.000.000 – Rp 9.000.000 per month,7000000,9000000, Kembangkan produk makanan inovatif di lingkungan dinamis Jakarta Utara. Kesempatan berkreasi dan berkarier cemerlang!,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85114007
Lainnya,Lainnya,Drafter Staff,Drafter Staff,Tidak dicantumkan,N/A,N/A,Mengkoordinasikan semua data dan hal yang berkaitan dengan pembuatan desain mesin menggunakan part yang standard/umum,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85038245
Finance,Finance,Tax Accountant & Administrative Assistant,Tax Accountant & Administrative Assistant,Tidak dicantumkan,N/A,N/A,"This role combines responsibilities in finance, taxation, and general administration",N/A,N/A,N/A,"finance,tax",https://id.jobstreet.com/id/job/85050393
Training,Training,Accounting & Data Assistant,Accounting & Data Assistant,Tidak dicantumkan,N/A,N/A,"Support accounting, data, HR & admin tasks in a growing teak furniture brand. Training provided. Detail-oriented? Join us.",N/A,N/A,N/A,accounting,https://id.jobstreet.com/id/job/85575699
Lainnya,Lainnya,Account Receivable (AR) Supervisor,Account Receivable (AR) Supervisor,Tidak dicantumkan,N/A,N/A,"Mengawasi dan mengelola piutang usaha secara akurat, cepat, dan terkontrol untuk mendukung kelancaran arus kas perusahaan",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85295452
