Kategori_Lowongan,Pekerjaan Lowongan,Title,Posisi,Gaji,Gaji Min,Gaji Max,Kualifikasi,Tahun Pengalaman,Umur,Pendidikan,Skill,Link
Sales,Sales,SALES ENGINEER,SALES ENGINEER,Tidak dicantumkan,N/A,N/A,"Mechanical Engineering 
Chemical Pump industry & Painting (1 cand)
Instrument testing (1 cand)
Chemical Engineering in Electroplating (1 cand)
",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85011145
Lainnya,Lainnya,Audiometrist / Audiologist,Audiometrist / Audiologist,Tidak dicantumkan,N/A,N/A,"Mendiagnosis, dan menangani gangguan pendengaran, dan tinnitus serta menginterpretasikan hasil tes dari pengukuran perilaku dan objektif.",N/A,N/A,N/A,erp,https://id.jobstreet.com/id/job/85090032
Sales,Sales,Account Manager (Sales B2B / Corporate),Account Manager (Sales B2B / Corporate),Rp 5.000.000 – Rp 7.500.000 per month,5000000,7500000,Bergabunglah dengan tim kami sebagai Account Manager (Sales B2B / Corporate) dan dapatkan kompensasi dan lingkungan kerja yang kompetitif!,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85011343
Admin,Admin,Translator Mandarin,Translator Mandarin,Rp 7.000.000 – Rp 10.000.000 per month,7000000,10000000,Menguasai Bahasa Mandarin baik lisan maupun tulisan dan memiliki keterampilan administratif yang baik dan kemahiran dalam Microsoft Office,N/A,N/A,N/A,microsoft office,https://id.jobstreet.com/id/job/85025621
Finance,Finance,Finance & Treasury Staff (Korean Speaker),Finance & Treasury Staff (Korean Speaker),Tidak dicantumkan,N/A,N/A,Join our team!,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85011422
Sales,Sales,Sales Representative (Singaraja),Sales Representative (Singaraja),Tidak dicantumkan,N/A,N/A,Sales Representative plays a crucial role in driving revenue growth for a company.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85011430
Akuntan,Akuntan,Staff Akuntansi dan Pajak,Staff Akuntansi dan Pajak,Rp 4.000.000 – Rp 5.500.000 per month,4000000,5500000,"Mencari staf akunting dan perpajakan dengan gaji kompetitif, lulusan minimal SMK Akuntansi",N/A,N/A,SMK,erp,https://id.jobstreet.com/id/job/84942853
Lainnya,Lainnya,Korean Families Liaison Officer,Korean Families Liaison Officer,Tidak dicantumkan,N/A,N/A,"Liaise between BSJ and Korean families, promoting school culture and expectations. Provide Korean translation for Admissions and Marcom. s",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85026405
Sales,Sales,Sales & Marketing,Sales & Marketing,Rp 5.000.000 – Rp 7.500.000 per month,5000000,7500000,"Pimpin strategi penjualan & pemasaran produk perawatan kulit ternama. Gaji kompetitif, didukung lingkungan kerja kreatif.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85025674
Sales,Sales,Account Manager,Account Manager,Rp 9.000.000 – Rp 13.000.000 per month,9000000,13000000,"Account Manager to drive growth, manage key FMCG clients, and expand sales channels—Jakarta-based, full-time role.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85011100
Lainnya,Lainnya,Port Control Officer,Port Control Officer,Tidak dicantumkan,N/A,N/A,Port Control Officer will be placed at Taboneo Port to handle ships movement ,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85011107
It Support,It Support,IT SUPPORT / POST SALES ENGINEER,IT SUPPORT / POST SALES ENGINEER,Tidak dicantumkan,N/A,N/A,Bekerja siap mobile dinas pelatihan ke seluruh indonesia jika dibutuhkan,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85025850
Legal,Legal,Legal Staff,Legal Staff,Rp 5.400.000 – Rp 7.000.000 per month,5400000,7000000,"Responsible for preparing & reviewing legal documents,ensuring company compliance with applicable regulations & providing legal support operations.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84956136
Lainnya,Lainnya,Process Engineer,Process Engineer,Rp 7.000.000 – Rp 7.800.000 per month,7000000,7800000,Conducting research to develop new and improved processes for manufacturing,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84943032
Sales,Sales,SALES TOKO,SALES TOKO,"Rp 4,500,000 – Rp 6,300,000 per month",4500000,6300000,"Sales Toko Kayu, Suasana Kerja Bebas dan Independen, Customer Networking dengan Pengrajin Kayu dan Kontraktor, Perkenalan Istilah seputar Perkayuan
",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84839078
Qa,Qa,QC/QA Engineer,QC/QA Engineer,Tidak dicantumkan,N/A,N/A,"To ensure that products are in compliance with all specifications required. 
",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85011800
Lainnya,Lainnya,Business Process Improvement & General Affair Coordinator,Business Process Improvement & General Affair Coordinator,Tidak dicantumkan,N/A,N/A,-,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85090107
Sales,Sales,Coordinator Sales Control,Coordinator Sales Control,Rp 6.000.000 – Rp 8.000.000 per month,6000000,8000000,Coordinator Sales Control. Posisi ini akan menjadi peran kunci dalam mendukung operasional perusahaan terutama pada bidang sales.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84942479
Sales,Sales,Host Live Streaming (Full Time) - SPG Experience (Sales/Usher),Host Live Streaming (Full Time) - SPG Experience (Sales/Usher),Rp 5.396.760 – Rp 7.500.000 per month,5396760,7500000,"Tanggung jawab 1. Bertanggung jawab atas penjualan produk di live streaming. promosi, rekomendasi produk baru, dan meningkatkan follower akun 2....",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85090580
Quality Control,Quality Control,development and quality control staff,development and quality control staff,Rp 3.500.000 – Rp 4.800.000 per month,3500000,4800000,Kami adalah perusahaan yang bergerak di bidang manufaktur sepatu fashion Jepang di Indonesia.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85026098
Lainnya,Lainnya,Product Specialist - Surabaya,Product Specialist - Surabaya,Tidak dicantumkan,N/A,N/A,Tugas utama Product Specialist adalah memperkenalkan produk dan mencapai target penjualan.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85026061
Management,Management,Building Manager - Yogyakarta,Building Manager - Yogyakarta,Tidak dicantumkan,N/A,N/A,"Responsible for all Asset Management such as, Building maintenance, Facility management, Security management in Property/Residential/University",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85090827
Database,Database,Digital Marketing Manager,Digital Marketing Manager,Rp 15.000.000 – Rp 22.000.000 per month,15000000,22000000,"Responsibilities Plan and execute all digital marketing, including SEO/SEM, marketing database, email, social media and display advertising...",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85090798
Lainnya,Lainnya,QC Inspector,QC Inspector,Tidak dicantumkan,N/A,N/A,Jadilah bagian dari kami untuk dapat berkontribusi dan mengembangkan potensi diri yang lebih baik.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85011670
Nutritionist,Nutritionist,"HEALTH, SAFETY, AND ENVIRONMENTAL (HSE) MANAGER","HEALTH, SAFETY, AND ENVIRONMENTAL (HSE) MANAGER","Rp 20,000,000 – Rp 30,000,000 per month",20000000,30000000,"We offer courteous, professional catering services, engaging nutritionists to ensure balanced menus and proper calorie intake",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85026186
Maintenance,Maintenance,Maintenance Engineer,Maintenance Engineer,Tidak dicantumkan,N/A,N/A,Melaksanakan perintah kerja perbaikan terhadap sarana/fasilitas produksi/umum sesuai dengan prosedur yang ditetapkan.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85026183
Maintenance,Maintenance,System Engineer,System Engineer,Tidak dicantumkan,N/A,N/A,"Responsible for the design, deployment, installation, configuration, maintenance, and day-to-day operations",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85026478
Lainnya,Lainnya,Supervisi Lapangan (Project),Supervisi Lapangan (Project),Rp 6.000.000 – Rp 8.000.000 per month,6000000,8000000,"Bertanggung jawab atas pengelolaan proyek di lapangan agar sesuai rencana, tepat waktu & sesuai anggaran,dan menjaga kualitas dan keselamatan kerja.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85026416
Admin,Admin,HRIS Admin,HRIS Admin,Tidak dicantumkan,N/A,N/A,Grow your HRIS career with a dynamic team in Jakarta. Competitive contract and career development.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85011252
Lainnya,Lainnya,SAP Application Engineer,SAP Application Engineer,Tidak dicantumkan,N/A,N/A,The IT Engineer will serve as the first point of contact for all IT-related inquiries and issues within the organization,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85025595
Sales,Sales,International Sales Assistant Manager,International Sales Assistant Manager,Tidak dicantumkan,N/A,N/A,"Melaksanakan & evaluasi pemasaran, strategi sales, studi pasar internasional, analisa harga, dan evaluasi forecasting sesuai prosedur.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85025942
Management,Management,Financial Controller,Financial Controller,Tidak dicantumkan,N/A,N/A,Financial Controller is part of Risk Management Division that has responsibility for monitor and mitigate financial risks,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85025594
