Kategori Lowongan,Umur,Pendidikan,Title,Link,Gaji_Rata2,Kategori_Encoded,Pendidikan_Encoded
Lainnya,32.0,S1,Staff Perpajakan,https://id.jobstreet.com/id/job/85471223,4800000.0,29,5
Lainnya,32.0,S1,Public Relation,https://id.jobstreet.com/id/job/85538457,4000000.0,29,5
Finance,32.0,S1,Staff Finance,https://id.jobstreet.com/id/job/84947017,4250000.0,20,5
Customer Service,32.0,S1,Customer Service (Ramadhan & Idul Fitri Support),https://id.jobstreet.com/id/job/85617498,5250000.0,14,5
Maintenance,32.0,S1,IT Staff,https://id.jobstreet.com/id/job/85596875,6500000.0,32,5
Lainnya,32.0,S1,Accounting Staff,https://id.jobstreet.com/id/job/85151237,7500000.0,29,5
Admin,32.0,S1,ADMIN PENJUALAN,https://id.jobstreet.com/id/job/85594089,5000000.0,1,5
Sekretaris,32.0,S1,SEKRETARIS,https://id.jobstreet.com/id/job/85603202,6375000.0,49,5
Social Media,32.0,S1,Admin Sales,https://id.jobstreet.com/id/job/85543239,5448380.5,51,5
Management,32.0,S1,Accounting Staff,https://id.jobstreet.com/id/job/85131901,7500000.0,33,5
Lainnya,32.0,S1,ENGINEERING Staff,https://id.jobstreet.com/id/job/85567049,7250000.0,29,5
Finance,32.0,S1,Finance Junior Director,https://id.jobstreet.com/id/job/84928247,50000000.0,20,5
Finance,32.0,S1,Accounting Staff,https://id.jobstreet.com/id/job/84875195,6000000.0,20,5
Lainnya,32.0,Sarjana,Personal assistant,https://id.jobstreet.com/id/job/85606162,12500000.0,29,12
Admin,32.0,S1,Administration Supervisor,https://id.jobstreet.com/id/job/85125795,12500000.0,1,5
Warehouse,32.0,S1,Warehouse Admin,https://id.jobstreet.com/id/job/85362704,3775000.0,60,5
Admin,32.0,S1,ADMINISTRASI,https://id.jobstreet.com/id/job/85543769,2875000.0,1,5
Customer Service,32.0,S1,Customer Service,https://id.jobstreet.com/id/job/85542218,17000000.0,14,5
Customer Service,32.0,S1,Customer Service and Operation Specialist (air freight and ocean freight）,https://id.jobstreet.com/id/job/83058973,500.0,14,5
Akuntan,32.0,S1,"Administrasi, Finance",https://id.jobstreet.com/id/job/85259093,3750000.0,2,5
Customer Service,32.0,S1,Frontliner (Customer Service/Teller),https://id.jobstreet.com/id/job/85683273,5125000.0,14,5
Akuntan,32.0,S1,Accounting Staff,https://id.jobstreet.com/id/job/85665689,6500000.0,2,5
Lainnya,32.0,S1,Junior Accounting Staff,https://id.jobstreet.com/id/job/85269043,5500000.0,29,5
Lainnya,32.0,S1,E-Commerce Specialist,https://id.jobstreet.com/id/job/85574158,6500000.0,29,5
Customer Service,32.0,S1,Admin Customer Service App Orderkuota,https://id.jobstreet.com/id/job/84937445,3250000.0,14,5
Admin,32.0,S1,Admin,https://id.jobstreet.com/id/job/85033700,1875000.0,1,5
Admin,32.0,S1,Admin Operasional & E-commerce,https://id.jobstreet.com/id/job/84912339,4250000.0,1,5
Lainnya,32.0,S1,HR&GA Manager,https://id.jobstreet.com/id/job/85439483,16000000.0,29,5
Purchasing,32.0,S1,Product Staff,https://id.jobstreet.com/id/job/85683937,5375000.0,43,5
Legal,32.0,S1,Internal Control Staff,https://id.jobstreet.com/id/job/85362795,5948380.5,30,5
Customer Service,32.0,S1,Customer Service Officer,https://id.jobstreet.com/id/job/84902535,5500000.0,14,5
Seo,32.0,S1,STAFF MARKETING EXPORT,https://id.jobstreet.com/id/job/85172126,6000000.0,50,5
Lainnya,32.0,S1,Sekuriti,https://id.jobstreet.com/id/job/85062178,4250000.0,29,5
Inventory,32.0,S1,Store Head,https://id.jobstreet.com/id/job/85452761,4750000.0,27,5
Admin,32.0,S1,Staff Administrasi,https://id.jobstreet.com/id/job/85452109,2500000.0,1,5
Lainnya,32.0,S1,Customer Relation Officer Jakarta Barat,https://id.jobstreet.com/id/job/85304709,5650000.0,29,5
Audit,32.0,S1,Accounting / Auditor Staff,https://id.jobstreet.com/id/job/85174796,4850000.0,5,5
Lainnya,32.0,S1,DISPATCHER,https://id.jobstreet.com/id/job/85425213,6000000.0,29,5
Lainnya,32.0,S1,Assistant Office Manager,https://id.jobstreet.com/id/job/85437976,16500000.0,29,5
Lainnya,32.0,S1,Accounting Spv,https://id.jobstreet.com/id/job/85535409,14500000.0,29,5
Lainnya,32.0,S1,Accounting Staff,https://id.jobstreet.com/id/job/85560640,6500000.0,29,5
Management,32.0,S1,management tranner,https://id.jobstreet.com/id/job/85379530,10000000.0,33,5
Data Analyst,32.0,S1,ADMIN DATA ANALYST,https://id.jobstreet.com/id/job/85188393,3750000.0,15,5
Lainnya,32.0,S1,STAF OPERASIONAL,https://id.jobstreet.com/id/job/84938035,4250000.0,29,5
Admin,32.0,S1,ACCOUNTING AND ADMIN ASSISTANT,https://id.jobstreet.com/id/job/85063474,6500000.0,1,5
Lainnya,32.0,S1,HRD Office,https://id.jobstreet.com/id/job/84952558,5000000.0,29,5
Lainnya,32.0,S1,"Crew Outlet (Waiter, Greeter, Kasir)",https://id.jobstreet.com/id/job/85511581,4250000.0,29,5
Lainnya,32.0,S1,Research and Development (RnD) Staff,https://id.jobstreet.com/id/job/85114007,8000000.0,29,5
Lainnya,32.0,"SMK,SMA",Engineer,https://id.jobstreet.com/id/job/85167975,7000000.0,29,11
Recruitment,32.0,S1,Recruitment & Personnel Admin Staff,https://id.jobstreet.com/id/job/85006753,5750000.0,46,5
Admin,32.0,S1,Accounting and Logistic Admin Assistant for Cosmetic Company,https://id.jobstreet.com/id/job/85122872,5655000.0,1,5
Akuntan,32.0,S1,Accounting,https://id.jobstreet.com/id/job/85056556,5700000.0,2,5
Management,32.0,S1,Junior Quantity Surveyor,https://id.jobstreet.com/id/job/85013447,6000000.0,33,5
Lainnya,32.0,S1,老板助理 (Personal Assistant),https://id.jobstreet.com/id/job/85623171,8750000.0,29,5
Audit,32.0,S1,Internal Control Staff,https://id.jobstreet.com/id/job/84908039,6283690.5,5,5
Lainnya,32.0,S1,Personal Assistant to Managing Director,https://id.jobstreet.com/id/job/85274332,5500000.0,29,5
