Kategori Lowongan,Umur,Pendidikan,Title,Link,Gaji_Rata2,Kategori_Encoded,Pendidikan_Encoded
Lainnya,32.0,S1,Procurement (Staff),https://id.jobstreet.com/id/job/85359059,7500000.0,29,5
Lainnya,32.0,S1,Supir Bluebird Bekasi,https://id.jobstreet.com/id/job/85470360,5500000.0,29,5
Lainnya,32.0,S1,Translator (personal Asisten),https://id.jobstreet.com/id/job/85265593,15000000.0,29,5
Bidan,32.0,S1,STAFF HSE,https://id.jobstreet.com/id/job/85167441,6950000.0,7,5
Admin,32.0,S1,Staf Administrasi (Japanese),https://id.jobstreet.com/id/job/84892976,7250000.0,1,5
Warehouse,32.0,S1,Warehouse Manager - Manufacturing (Cikarang),https://id.jobstreet.com/id/job/85681370,22500000.0,60,5
Quality Control,32.0,D3,Staff QC (Quality Control),https://id.jobstreet.com/id/job/85290251,4850000.0,45,1
Lainnya,32.0,S1,Manajer HRD (termasuk General Affair) 人事经理 （含总务事务）,https://id.jobstreet.com/id/job/85156111,18500000.0,29,5
It Support,32.0,S1,IT Support,https://id.jobstreet.com/id/job/85059558,3100000.0,28,5
Lainnya,32.0,S1,ERP Support,https://id.jobstreet.com/id/job/85599742,10000000.0,29,5
Event,32.0,S1,Event Specialist,https://id.jobstreet.com/id/job/85103882,3500000.0,19,5
Lainnya,32.0,S1,Marketplace Specialist,https://id.jobstreet.com/id/job/84841332,4750000.0,29,5
Lainnya,32.0,S1,Quantity Surveyor Project,https://id.jobstreet.com/id/job/85371915,7000000.0,29,5
Akuntan,32.0,S1,会计/Akuntan,https://id.jobstreet.com/id/job/85420318,9000000.0,2,5
Lainnya,32.0,S1,Content Creator,https://id.jobstreet.com/id/job/85029925,5000000.0,29,5
Lainnya,32.0,S1,Ads Specialist,https://id.jobstreet.com/id/job/84878784,11000000.0,29,5
Sales,32.0,S1,Sales Executive (Ekspedisi Reefer),https://id.jobstreet.com/id/job/85490541,5500000.0,48,5
Event,32.0,S1,HR Generalist Staff Cum Runner Event,https://id.jobstreet.com/id/job/85379299,6000000.0,19,5
Lainnya,32.0,S1,Staff Acounting,https://id.jobstreet.com/id/job/85627875,6000000.0,29,5
Lainnya,32.0,S1,Brand Manager,https://id.jobstreet.com/id/job/85185790,21500000.0,29,5
Logistik,32.0,S1,Admin Logistik (Makassar),https://id.jobstreet.com/id/job/85025285,3250000.0,31,5
Lainnya,32.0,S1,Skincare video content creator,https://id.jobstreet.com/id/job/85685713,6250000.0,29,5
Lainnya,32.0,D3,Koordinator Workshop,https://id.jobstreet.com/id/job/85187164,13500000.0,29,1
Inventory,32.0,S1,Administrasi PPIC ( Production Planning Inventory Control),https://id.jobstreet.com/id/job/85440048,4650000.0,27,5
Business Development,32.0,S1,Business Development,https://id.jobstreet.com/id/job/85470653,12500000.0,9,5
Lainnya,32.0,S1,Marketing Executive,https://id.jobstreet.com/id/job/85379517,9250000.0,29,5
Admin,32.0,S1,Admin Psikologi Berbahasa Inggris untuk Rental Motor di BALI,https://id.jobstreet.com/id/job/85173168,3400000.0,1,5
Lainnya,32.0,S1,HR Staff (Urban Asia Industri),https://id.jobstreet.com/id/job/85065654,4250000.0,29,5
Lainnya,32.0,S1,AI Content Creator & Prompt Specialist,https://id.jobstreet.com/id/job/85184467,6750000.0,29,5
Lainnya,32.0,S1,marketing,https://id.jobstreet.com/id/job/85691423,6250000.0,29,5
Bidan,32.0,S1,E-Commerce Specialist & Marketing,https://id.jobstreet.com/id/job/85682172,6500000.0,7,5
Admin,32.0,S1,Admin Psikologi Berbahasa Inggris untuk Rental Motor di BALI,https://id.jobstreet.com/id/job/85263401,3400000.0,1,5
Management,32.0,S1,Business Management,https://id.jobstreet.com/id/job/85575444,12500000.0,33,5
Lainnya,32.0,S1,Exclusive Beauty Advisor,https://id.jobstreet.com/id/job/85265928,7000000.0,29,5
Management,32.0,S1,Customer Relationship Management,https://id.jobstreet.com/id/job/85601774,3400000.0,33,5
Lainnya,32.0,S1,E-Commerce Specialist,https://id.jobstreet.com/id/job/84785835,5925000.0,29,5
Lainnya,32.0,S1,Manager Merchandiser (MD Manager),https://id.jobstreet.com/id/job/85623403,12500000.0,29,5
Purchasing,32.0,S1,PURCHASING PROJECT (MECHANICAL – ELECTRICAL ),https://id.jobstreet.com/id/job/85295438,5500000.0,43,5
Lainnya,32.0,S1,MATCHING COLOR,https://id.jobstreet.com/id/job/85203512,5500000.0,29,5
Lainnya,32.0,S1,Content Creator,https://id.jobstreet.com/id/job/85367626,5325000.0,29,5
Akuntan,32.0,S1,FINANCE & ACCOUNTING OFFICER,https://id.jobstreet.com/id/job/84950974,7500000.0,2,5
Lainnya,32.0,S1,Executive Assistant (Bilingual - Chinese & Indonesian),https://id.jobstreet.com/id/job/85138248,10000000.0,29,5
Finance,32.0,S1,Finance Staff AP,https://id.jobstreet.com/id/job/85009372,5350000.0,20,5
Maintenance,32.0,Sarjana,Maintenance Manager - Plywood Industry,https://id.jobstreet.com/id/job/85009185,17000000.0,32,12
Payroll,32.0,S1,Manager Accounting,https://id.jobstreet.com/id/job/85034786,8500000.0,37,5
Lainnya,32.0,S1,Assistant Process,https://id.jobstreet.com/id/job/85602673,7500000.0,29,5
Warehouse,32.0,S1,Warehouse Supervisor,https://id.jobstreet.com/id/job/85131191,5500000.0,60,5
Lainnya,32.0,S1,STAFF OPERATOR RADIO LAUT,https://id.jobstreet.com/id/job/85005587,6000000.0,29,5
Payroll,32.0,S1,HR,https://id.jobstreet.com/id/job/84802526,7000000.0,37,5
Tax,32.0,S1,TAX OFFICER,https://id.jobstreet.com/id/job/85066432,8750000.0,54,5
Lainnya,32.0,S1,Pelaksana Lapangan,https://id.jobstreet.com/id/job/85026729,5000000.0,29,5
Bidan,32.0,S1,Accounting,https://id.jobstreet.com/id/job/84979933,5500000.0,7,5
Lainnya,32.0,S1,QIN ZONG-Penerjemah Lapangan(Mandarin Speaker),https://id.jobstreet.com/id/job/85294030,13500000.0,29,5
Business Development,32.0,S1,Business Development Staff,https://id.jobstreet.com/id/job/85492798,3500000.0,9,5
Finance,32.0,S1,Chief Financial Officer (CFO),https://id.jobstreet.com/id/job/85010816,19500000.0,20,5
Lainnya,32.0,S1,Kepala Cabang (Sorong),https://id.jobstreet.com/id/job/85268175,17500000.0,29,5
Hotel,32.0,S1,front office supervisor,https://id.jobstreet.com/id/job/85069333,4375000.0,25,5
Digital Marketing,32.0,S1,Content Creator / Social Media Officer / Product Photographer,https://id.jobstreet.com/id/job/85522895,3850000.0,17,5
Admin,32.0,S1,Accounting Administration,https://id.jobstreet.com/id/job/85303687,4000000.0,1,5
Bidan,32.0,S1,Wakil Kepala Divisi Konstruksi,https://id.jobstreet.com/id/job/85167017,21500000.0,7,5
Lainnya,32.0,S1,Content Creator,https://id.jobstreet.com/id/job/84997230,8000000.0,29,5
Lainnya,32.0,S1,ULUWATU STORE CREW,https://id.jobstreet.com/id/job/85470857,4200000.0,29,5
Lainnya,32.0,S1,Accounting staff (Must be proficient in Chinese),https://id.jobstreet.com/id/job/85433055,12500000.0,29,5
Finance,32.0,S1,"Assistant Manager Accounting, Finance, and Tax",https://id.jobstreet.com/id/job/85168521,7000000.0,20,5
Lainnya,32.0,S1,Marketing Executive Sidoarjo & Pasuruan,https://id.jobstreet.com/id/job/85251618,4250000.0,29,5
Admin,32.0,S1,PERSONAL ASSISTANT,https://id.jobstreet.com/id/job/85672425,5500000.0,1,5
Lainnya,32.0,S1,Staff Marketing,https://id.jobstreet.com/id/job/85487555,5125000.0,29,5
Admin,32.0,S1,School Reception,https://id.jobstreet.com/id/job/84868907,5500000.0,1,5
Lainnya,32.0,S1,Marketing Executive (Pengadaan/ Tender),https://id.jobstreet.com/id/job/85473507,12500000.0,29,5
Mechanic,32.0,S1,Mechanical Engineer,https://id.jobstreet.com/id/job/85030463,6250000.0,35,5
Lainnya,32.0,S1,Personal Assistant & House Manager,https://id.jobstreet.com/id/job/85009766,9000000.0,29,5
Sales,32.0,S1,Sales,https://id.jobstreet.com/id/job/85661857,6717500.0,48,5
Customer Service,32.0,S1,Sea Import Customer Service,https://id.jobstreet.com/id/job/85557867,7000000.0,14,5
Lainnya,32.0,S1,HR Project,https://id.jobstreet.com/id/job/85121178,11000000.0,29,5
Lainnya,32.0,S1,PAJAK & KEUANGAN,https://id.jobstreet.com/id/job/85139881,5250000.0,29,5
Akuntan,32.0,S1,Accountant,https://id.jobstreet.com/id/job/85605750,7000000.0,2,5
Tax,32.0,S1,Tax Accounting,https://id.jobstreet.com/id/job/85124168,7250000.0,54,5
Akuntan,32.0,S1,Staff Accounting & Tax,https://id.jobstreet.com/id/job/85680415,5000000.0,2,5
Lainnya,32.0,S1,助理销售经理,https://id.jobstreet.com/id/job/84964629,10000000.0,29,5
Social Media,32.0,S1,Head Of Social Media Creative Startegist,https://id.jobstreet.com/id/job/85425510,10500000.0,51,5
Social Media,32.0,S1,Social Media Executive,https://id.jobstreet.com/id/job/84895006,8000000.0,51,5
Akuntan,32.0,S1,Accounting and Tax Administration,https://id.jobstreet.com/id/job/85528342,4500000.0,2,5
Business Development,32.0,S1,Business Development,https://id.jobstreet.com/id/job/85114026,7750000.0,9,5
Akuntan,32.0,S1,Admin Sarjana Akuntansi Mahir Bahasa Inggris untuk Rental Motor di BALI,https://id.jobstreet.com/id/job/85360227,3400000.0,2,5
Sales,32.0,S1,ADMIN SALES SUPPORT,https://id.jobstreet.com/id/job/85679111,4100000.0,48,5
Lainnya,32.0,S1,Research and Development (RnD) F&B Specialist,https://id.jobstreet.com/id/job/85427930,8125000.0,29,5
Training,32.0,S1,SUPERVISOR HRD & UMUM (Penempatan Sorong),https://id.jobstreet.com/id/job/85364048,4075000.0,57,5
Lainnya,32.0,S1,LANDSCAPE SUPERVISOR,https://id.jobstreet.com/id/job/85574731,6500000.0,29,5
Finance,32.0,S1,Finance - AR Staff,https://id.jobstreet.com/id/job/85481347,4750000.0,20,5
Logistik,32.0,S1,STAFF PPJK Dokumen PIB & PEB EXIM,https://id.jobstreet.com/id/job/84941750,6000000.0,31,5
Finance,32.0,S1,Finance & Accounting Officer,https://id.jobstreet.com/id/job/85194056,5000000.0,20,5
Purchasing,32.0,S1,Coordinator Purchasing,https://id.jobstreet.com/id/job/84949393,5625000.0,43,5
Sales,32.0,S1,Financial Advisor - Kisaran,https://id.jobstreet.com/id/job/85591582,3500000.0,48,5
Bidan,32.0,S1,KOL SPESIALIST,https://id.jobstreet.com/id/job/85044667,7000000.0,7,5
Lainnya,32.0,S1,PERSONAL ASSISTANT / SECRETARY,https://id.jobstreet.com/id/job/85303869,8000000.0,29,5
Bidan,32.0,S1,STAFF PAJAK,https://id.jobstreet.com/id/job/85195609,10000000.0,7,5
Lainnya,32.0,S1,E-Commerce Specialist,https://id.jobstreet.com/id/job/85076774,6000000.0,29,5
Audit,32.0,S1,Internal Auditor,https://id.jobstreet.com/id/job/84969602,6650000.0,5,5
Management,32.0,S1,Maintenance & Engineering Manager,https://id.jobstreet.com/id/job/85182640,12500000.0,33,5
Management,32.0,S1,Branch Manager,https://id.jobstreet.com/id/job/85252595,13000000.0,33,5
Lainnya,32.0,S1,E-Commerce Specialist,https://id.jobstreet.com/id/job/85601640,6000000.0,29,5
Lainnya,32.0,S1,Marketplace Ads Specialist,https://id.jobstreet.com/id/job/84890183,4250000.0,29,5
Lainnya,32.0,S1,Desain Grafis,https://id.jobstreet.com/id/job/84904602,6000000.0,29,5
Lainnya,32.0,S1,Account Officer - Funding,https://id.jobstreet.com/id/job/85172096,6000000.0,29,5
Business Development,32.0,S1,Business Development Staff,https://id.jobstreet.com/id/job/85068435,6500000.0,9,5
Recruitment,32.0,S1,Human Resources Manager,https://id.jobstreet.com/id/job/84949296,9000000.0,46,5
Akuntan,32.0,S1,STAF INTERNAL AUDIT/STAFF AKUNTANSI,https://id.jobstreet.com/id/job/85680079,4350000.0,2,5
Lainnya,32.0,S1,Staff Engineering,https://id.jobstreet.com/id/job/85665829,5800000.0,29,5
Lainnya,32.0,S1,HOST LIVE STREAMING TIKTOK,https://id.jobstreet.com/id/job/84951015,7500000.0,29,5
Lainnya,32.0,S1,Accounting staff,https://id.jobstreet.com/id/job/85546713,4500000.0,29,5
Lainnya,32.0,S1,Food Technologist RnD Healthy Organic Product,https://id.jobstreet.com/id/job/85626871,5500000.0,29,5
Account Executive,32.0,S1,Project Account Executive,https://id.jobstreet.com/id/job/85571073,6000000.0,0,5
Warehouse,32.0,S1,Warehouse Operator Staff (Maitrox Indonesia),https://id.jobstreet.com/id/job/85069664,5300000.0,60,5
Lainnya,32.0,S1,Cost Control,https://id.jobstreet.com/id/job/85672679,6500000.0,29,5
Event,32.0,S1,Marketing Communication,https://id.jobstreet.com/id/job/85593696,6750000.0,19,5
Digital Marketing,32.0,S1,Social Media Assistant,https://id.jobstreet.com/id/job/85129288,4400000.0,17,5
Management,32.0,S1,Danamon Banking Officer Trainee (Kota Ternate),https://id.jobstreet.com/id/job/85540596,8500000.0,33,5
Event,32.0,S1,EVENT ACTIVATION (FMCG),https://id.jobstreet.com/id/job/85537720,6750000.0,19,5
Tax,32.0,S1,Tax Assistant,https://id.jobstreet.com/id/job/84907562,4500000.0,54,5
Management,32.0,S1,Senior Accountant,https://id.jobstreet.com/id/job/85545531,11000000.0,33,5
Lainnya,32.0,S1,Chief Technology Officer (UAV Manufacture Company),https://id.jobstreet.com/id/job/85131791,17000000.0,29,5
Sekretaris,28.0,"S1,D3",Secretary / Personal Assistant,https://id.jobstreet.com/id/job/85373968,6000000.0,49,7
Social Media,32.0,S1,Social Media Specialist,https://id.jobstreet.com/id/job/85373787,5500000.0,51,5
Training,32.0,S1,Production Staff (Medical Device),https://id.jobstreet.com/id/job/85681703,5750000.0,57,5
Lainnya,32.0,S1,Asisten HPT,https://id.jobstreet.com/id/job/85490641,6000000.0,29,5
Lainnya,32.0,S1,Product Engineer,https://id.jobstreet.com/id/job/85134885,7000000.0,29,5
Lainnya,32.0,S1,Pengawas SPBU,https://id.jobstreet.com/id/job/85676701,4750000.0,29,5
Lainnya,32.0,S1,Accountant,https://id.jobstreet.com/id/job/85108448,15000000.0,29,5
Audit,32.0,S1,Fraud & IT Complience Specialist,https://id.jobstreet.com/id/job/85306004,5500000.0,5,5
Seo,32.0,S1,SITE MANAGER,https://id.jobstreet.com/id/job/84958168,9000000.0,50,5
Lainnya,32.0,S1,Distributor Lube Engineer Staff (DLE),https://id.jobstreet.com/id/job/85303523,4880900.0,29,5
Customer Service,32.0,S1,Customer Service,https://id.jobstreet.com/id/job/85569747,3750000.0,14,5
Lainnya,32.0,S1,Export Import (EXIM) Staff,https://id.jobstreet.com/id/job/85082395,4500000.0,29,5
Retail,32.0,S1,Store Manager (SM),https://id.jobstreet.com/id/job/85092061,9000000.0,47,5
Lainnya,32.0,S1,Video Grafer & Editor,https://id.jobstreet.com/id/job/84971802,5750000.0,29,5
Sales,32.0,S1,E-Commerce Specialist,https://id.jobstreet.com/id/job/85267724,8750000.0,48,5
Lainnya,32.0,S1,Deputy General Manager - Hydraulic Component Manufacture,https://id.jobstreet.com/id/job/84834547,31250000.0,29,5
Purchasing,32.0,S1,Procurement Staff (EXIM Specialist),https://id.jobstreet.com/id/job/85303540,8500000.0,43,5
Lainnya,32.0,S1,Drafter / Pengawas,https://id.jobstreet.com/id/job/85453483,4950000.0,29,5
Lainnya,32.0,S1,Content Creator,https://id.jobstreet.com/id/job/85632691,4250000.0,29,5
Lainnya,32.0,S1,Driver bluebird,https://id.jobstreet.com/id/job/85008552,4625000.0,29,5
Business Development,32.0,S1,Sales Manager,https://id.jobstreet.com/id/job/85602279,14000000.0,9,5
Lainnya,32.0,S1,Odoo ERP Implementor,https://id.jobstreet.com/id/job/85257748,5250000.0,29,5
Business Development,32.0,S1,Business Development Executive – Safety Gloves (B2B),https://id.jobstreet.com/id/job/84928360,5750000.0,9,5
Lainnya,32.0,S1,Supervisor Operator Radio Di Laut,https://id.jobstreet.com/id/job/85007587,9000000.0,29,5
Bidan,32.0,S1,E-commerce Spesialist Shopee,https://id.jobstreet.com/id/job/85185877,5000000.0,7,5
Lainnya,32.0,S1,LUO ZONG-Translator (MandarinSpeaker)-FEMALE Usia 20-35 Y,https://id.jobstreet.com/id/job/84985791,14000000.0,29,5
Finance,32.0,S1,Finance & Accounting First Line Manager,https://id.jobstreet.com/id/job/85241194,6000000.0,20,5
Lainnya,32.0,S1,IT Field Support Engineer,https://id.jobstreet.com/id/job/84895414,44878751.0,29,5
Business Development,32.0,S1,Business Development,https://id.jobstreet.com/id/job/85680139,7000000.0,9,5
Logistik,32.0,S1,ADMIN GUDANG,https://id.jobstreet.com/id/job/85061072,3250000.0,31,5
Warehouse,32.0,S1,Warehouse Head,https://id.jobstreet.com/id/job/85134751,5950000.0,60,5
Lainnya,32.0,S1,Personal Assistant (Accounting),https://id.jobstreet.com/id/job/85055942,5750000.0,29,5
Lainnya,32.0,S1,SUPERVISOR ENGINEERING,https://id.jobstreet.com/id/job/85432653,5500000.0,29,5
Lainnya,32.0,S1,Staf Organizational Development,https://id.jobstreet.com/id/job/85531454,5000000.0,29,5
Lainnya,32.0,S1,Host Live Streaming,https://id.jobstreet.com/id/job/85126314,6000000.0,29,5
Legal,32.0,S1,Legal Staff,https://id.jobstreet.com/id/job/85534452,8000000.0,30,5
Recruitment,32.0,S1,HUMAN RESOURCE OFFICER,https://id.jobstreet.com/id/job/85633809,6150000.0,46,5
Lainnya,32.0,S1,Back Office Visa Processing Executive,https://id.jobstreet.com/id/job/85268847,4250000.0,29,5
Sales,32.0,S1,Application Engineer,https://id.jobstreet.com/id/job/85056832,6500000.0,48,5
Lainnya,32.0,S1,Pricing Staff,https://id.jobstreet.com/id/job/85479537,10000000.0,29,5
Lainnya,32.0,S1,Accounting Assistant,https://id.jobstreet.com/id/job/85431673,4500000.0,29,5
Management,32.0,S1,Management Trainee Coach (Indonesian Stock),https://id.jobstreet.com/id/job/85255260,2750000.0,33,5
Admin,32.0,S1,Admin Sarjana Hukum Mahir bahasa Inggris untuk Rental Motor di BALI,https://id.jobstreet.com/id/job/85261216,3400000.0,1,5
Akuntan,32.0,D3,Staff adm  / staff Pajak,https://id.jobstreet.com/id/job/85012515,5500000.0,2,1
Quality Control,32.0,S1,Operator QC,https://id.jobstreet.com/id/job/85538929,4125000.0,45,5
Supply Chain,32.0,S1,Supply Chain Manager,https://id.jobstreet.com/id/job/85479832,8500000.0,53,5
Lainnya,32.0,S1,MEP ENGGINERING,https://id.jobstreet.com/id/job/85473219,5500000.0,29,5
Lainnya,32.0,S1,Content Moderator,https://id.jobstreet.com/id/job/84947865,3250000.0,29,5
Seo,32.0,S1,Etsy Shop & Shopify E-Commerce Manager / SEO and customer service - FASHION,https://id.jobstreet.com/id/job/85573618,9000000.0,50,5
Lainnya,32.0,S1,Senior RnD,https://id.jobstreet.com/id/job/85596195,8500000.0,29,5
Seo,32.0,S1,Manager Resto,https://id.jobstreet.com/id/job/84841003,3500000.0,50,5
Lainnya,32.0,S1,Marketing Representarive Jakarta Raya,https://id.jobstreet.com/id/job/85187075,6500000.0,29,5
Lainnya,32.0,S1,PEOPLE & OPERATION COORDINATOR,https://id.jobstreet.com/id/job/85298045,7500000.0,29,5
Customer Service,32.0,S1,Customer Service (Shift Malam),https://id.jobstreet.com/id/job/85538236,3850000.0,14,5
Digital Marketing,32.0,S1,DIGITAL MARKETING & CONTENT SPECIALIST,https://id.jobstreet.com/id/job/84898395,6000000.0,17,5
Lainnya,32.0,S1,行政,https://id.jobstreet.com/id/job/84985490,12500000.0,29,5
Database,32.0,S1,Human Resources (HR) Generalist,https://id.jobstreet.com/id/job/85378357,6500000.0,16,5
Lainnya,32.0,S1,Online Food Operation,https://id.jobstreet.com/id/job/85633147,6000000.0,29,5
Lainnya,32.0,S1,Operation Manager (Shipping Agency),https://id.jobstreet.com/id/job/85420393,16500000.0,29,5
Admin,32.0,S1,admin and accounting assistant,https://id.jobstreet.com/id/job/85574178,5000000.0,1,5
Lainnya,32.0,S1,TikTok Live Host Streaming,https://id.jobstreet.com/id/job/85422850,5000000.0,29,5
Management,32.0,S1,Accounting,https://id.jobstreet.com/id/job/85681834,5750000.0,33,5
Sales,32.0,S1,ENGINEERING / SALES ENGINEERING,https://id.jobstreet.com/id/job/85524696,7000000.0,48,5
Qa,32.0,S1,Staff QA/QC,https://id.jobstreet.com/id/job/85459010,7000000.0,44,5
Lainnya,32.0,S1,Creative Content Specialist,https://id.jobstreet.com/id/job/85595177,8500000.0,29,5
Lainnya,32.0,S1,Bookkeeping Executive,https://id.jobstreet.com/id/job/84864563,4600000.0,29,5
Lainnya,32.0,S1,WANGYU-Translator (MandarinSpeaker)FEMALE 20-30Y,https://id.jobstreet.com/id/job/85534460,12500000.0,29,5
Lainnya,32.0,S1,Staff Bahasa Jepang,https://id.jobstreet.com/id/job/85056343,5500000.0,29,5
Lainnya,32.0,S1,Staff Research and Development,https://id.jobstreet.com/id/job/85374320,3250000.0,29,5
Consultant,32.0,S1,Scientific Consultant,https://id.jobstreet.com/id/job/85310690,6750000.0,12,5
Sales,32.0,S1,manager sales project,https://id.jobstreet.com/id/job/85684539,15000000.0,48,5
Lainnya,32.0,S1,Engineer Estimator Project (Electrical),https://id.jobstreet.com/id/job/85296354,13000000.0,29,5
Finance,32.0,S1,Finance & Accounting,https://id.jobstreet.com/id/job/85032554,6500000.0,20,5
Database,32.0,S1,Staff Database/EDP Gereja IFGF,https://id.jobstreet.com/id/job/85606355,5500000.0,16,5
Lainnya,32.0,S1,Driver,https://id.jobstreet.com/id/job/84917503,8000000.0,29,5
Lainnya,32.0,Master,Engineer,https://id.jobstreet.com/id/job/85684241,7550000.0,29,4
Sales,32.0,S1,Sales Project Supervisor,https://id.jobstreet.com/id/job/85425185,9000000.0,48,5
Sales,32.0,S1,Sales Support (Cost Analis),https://id.jobstreet.com/id/job/85575282,7750000.0,48,5
Lainnya,32.0,S1,"Supervisor R & D Food (Bumbu Pasta, Saus Bumbu, dll)",https://id.jobstreet.com/id/job/85631640,8500000.0,29,5
Lainnya,32.0,S1,Information Technology Staff,https://id.jobstreet.com/id/job/85574249,5000000.0,29,5
Lainnya,32.0,S1,Research and Development (Meat Processing),https://id.jobstreet.com/id/job/84873396,6250000.0,29,5
Lainnya,32.0,S1,Manajer Operasional,https://id.jobstreet.com/id/job/84948164,11500000.0,29,5
Business Development,32.0,S1,Business Development,https://id.jobstreet.com/id/job/85103714,5500000.0,9,5
Telemarketing,32.0,S1,Telemarketing,https://id.jobstreet.com/id/job/85239971,4650000.0,56,5
Management,32.0,S1,Facilities Management Technician (East Jakarta),https://id.jobstreet.com/id/job/85014070,10000000.0,33,5
Sales,32.0,"S1,D3,SMK",Sales Canvas,https://id.jobstreet.com/id/job/85034830,4800000.0,48,8
Lainnya,32.0,S1,Junior Officer IT Infrastructure and Network,https://id.jobstreet.com/id/job/85621796,6500000.0,29,5
Lainnya,32.0,S1,Marketing Communication Staff (Tanjung Pinang),https://id.jobstreet.com/id/job/85543326,3611827.0,29,5
Guru,32.0,S1,Staff Legal,https://id.jobstreet.com/id/job/85000523,5500000.0,24,5
Arsitek,32.0,S1,Staff Marketing Arsitektur,https://id.jobstreet.com/id/job/85314163,4500000.0,4,5
Retail,32.0,S1,Head of Merchandiser (MD),https://id.jobstreet.com/id/job/85080189,12500000.0,47,5
Lainnya,32.0,S1,Content Creator,https://id.jobstreet.com/id/job/85239280,5000000.0,29,5
Lainnya,32.0,S1,Pelayan Restoran,https://id.jobstreet.com/id/job/85667398,4200000.0,29,5
Finance,32.0,S1,Coordinator Finance AR,https://id.jobstreet.com/id/job/84995546,6000000.0,20,5
Finance,32.0,S1,ACCOUNTING AND FINANCE,https://id.jobstreet.com/id/job/85091667,4950000.0,20,5
Akuntan,32.0,S1,Accounting Head,https://id.jobstreet.com/id/job/85128982,5000000.0,2,5
Sales,32.0,S1,Pricing Staff,https://id.jobstreet.com/id/job/85292209,6250000.0,48,5
Lainnya,32.0,S1,Merchant Acquisition Executive,https://id.jobstreet.com/id/job/85091877,6050000.0,29,5
Sales,32.0,S1,Retail Sales Officer,https://id.jobstreet.com/id/job/85603405,9250000.0,48,5
Lainnya,32.0,S1,Marketing Representative Area Bali Raya,https://id.jobstreet.com/id/job/85183509,5250000.0,29,5
Lainnya,32.0,S1,Kepala Divisi Kasir,https://id.jobstreet.com/id/job/85069310,5000000.0,29,5
Lainnya,32.0,S1,DRAFTER ELECTRICAL,https://id.jobstreet.com/id/job/85536114,9500000.0,29,5
Lainnya,32.0,S1,Marketing Representative Area Sulawesi Selatan,https://id.jobstreet.com/id/job/85184586,6000000.0,29,5
Lainnya,32.0,S1,Human Resources Officer,https://id.jobstreet.com/id/job/84927904,6000000.0,29,5
Sales,32.0,S1,Visual Merchandiser,https://id.jobstreet.com/id/job/84983812,7250000.0,48,5
Production,32.0,S1,Assistant production manager,https://id.jobstreet.com/id/job/84877480,7500000.0,40,5
Lainnya,32.0,S1,Operations Assistant,https://id.jobstreet.com/id/job/85692731,6500000.0,29,5
Lainnya,32.0,S1,Support Live Streaming,https://id.jobstreet.com/id/job/85004476,5000000.0,29,5
Management,32.0,S1,Kepala Bagian Document Management System,https://id.jobstreet.com/id/job/85069127,10250000.0,33,5
Lainnya,32.0,S1,Staff Perkebunan (Pengelola Lahan Perkebunan),https://id.jobstreet.com/id/job/85579994,4750000.0,29,5
Qa,32.0,S1,QA & QC (Staff),https://id.jobstreet.com/id/job/85359775,7500000.0,44,5
Lainnya,32.0,S1,EXIM DOCUMENT,https://id.jobstreet.com/id/job/85606386,4500000.0,29,5
Lainnya,32.0,S1,Senior Electrical Engineer,https://id.jobstreet.com/id/job/85671729,7500000.0,29,5
Lainnya,32.0,S1,Staf Fiskal,https://id.jobstreet.com/id/job/85154547,4750000.0,29,5
Bidan,32.0,S1,PIC Marketing Communication,https://id.jobstreet.com/id/job/84967278,4250000.0,7,5
Lainnya,32.0,S1,IT Developer,https://id.jobstreet.com/id/job/85302155,10000000.0,29,5
Mechanic,32.0,S1,Sheetmetal - Laser/Bending Teknisi,https://id.jobstreet.com/id/job/85422637,4963376.5,35,5
Finance,32.0,S1,Assistant Finance Director,https://id.jobstreet.com/id/job/85203979,14000000.0,20,5
Business Analyst,32.0,S1,IT Business Analyst (BA),https://id.jobstreet.com/id/job/85666277,8000000.0,8,5
Admin,32.0,S1,ADMIN ACCOUNTANT ECOMMERCE,https://id.jobstreet.com/id/job/84816393,3125000.0,1,5
Account Executive,32.0,S1,Account Executive,https://id.jobstreet.com/id/job/84524861,6250000.0,0,5
Lainnya,32.0,S1,Marketing Executive / Koordinator Agent,https://id.jobstreet.com/id/job/84941959,4250000.0,29,5
Quality Control,32.0,S1,Quality Control (QC) SIPIL,https://id.jobstreet.com/id/job/85030823,4500000.0,45,5
Admin,32.0,S1,Staff Administrasi(Mandarin Speaking),https://id.jobstreet.com/id/job/85682112,8000000.0,1,5
Lainnya,32.0,S1,Tiktok Operations,https://id.jobstreet.com/id/job/85574800,5250000.0,29,5
Business Development,32.0,S1,Business Development,https://id.jobstreet.com/id/job/85095948,8500000.0,9,5
Lainnya,32.0,S1,HOST LIVE STREAMING / LIVE ASSISTANT,https://id.jobstreet.com/id/job/85548585,5500000.0,29,5
Digital Marketing,32.0,S1,Digital Marketing Specialist,https://id.jobstreet.com/id/job/85559276,7000000.0,17,5
Sales,32.0,S1,Retail Sales,https://id.jobstreet.com/id/job/84858593,6250000.0,48,5
Lainnya,32.0,S1,Accounting Manager,https://id.jobstreet.com/id/job/85454304,27500000.0,29,5
Sales,32.0,S1,Telesales/Telemarketing Executive,https://id.jobstreet.com/id/job/84958011,3750000.0,48,5
